Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest
2019-09-25,1.9511,1.9561,1.9261,1.9539,-0.0137,1.9407,3381.0,2031.0
2019-09-26,1.9475,1.9635,1.925,1.9551,0.0012,1.9412,540.0,1592.0
2019-09-27,1.9378,1.96,1.9112,1.936,-0.0145,1.9364,12191.0,2871.0
2019-09-30,1.9355,1.9359,1.8959,1.8972,-0.0388,1.9138,12365.0,2997.0
2019-10-01,1.9019,1.922,1.8869,1.8985,0.0013,1.906,15736.0,3213.0
2019-10-02,1.9064,1.9127,1.8589,1.873,-0.0255,1.8781,14214.0,3213.0
2019-10-03,1.8651,1.8817,1.8242,1.876,0.003,1.8563,23029.0,2835.0
2019-10-04,1.8823,1.9118,1.8787,1.8945,0.0185,1.8954,16134.0,2953.0
2019-10-07,1.8931,1.9323,1.887,1.9033,0.0088,1.914,17745.0,3025.0
2019-10-08,1.9105,1.9164,1.8747,1.9101,0.0068,1.8984,22526.0,3173.0
2019-10-09,1.9029,1.9441,1.9022,1.9193,0.0092,1.9266,20643.0,3269.0
2019-10-10,1.9079,1.9404,1.9017,1.9208,0.0015,1.9199,16818.0,3242.0
2019-10-11,1.9267,1.97,1.9264,1.9576,0.0368,1.9556,15973.0,2796.0
2019-10-14,1.9591,1.9591,1.9043,1.9151,-0.0425,1.917,12319.0,2452.0
2019-10-15,1.9067,1.9312,1.8908,1.91,-0.0051,1.9153,14238.0,2480.0
2019-10-16,1.9185,1.9533,1.9094,1.9426,0.0326,1.9354,11675.0,3079.0
2019-10-17,1.9324,1.9515,1.9176,1.9481,0.0055,1.932,16009.0,3414.0
2019-10-18,1.9474,1.9613,1.9338,1.9471,-0.001,1.9479,17573.0,3012.0
2019-10-21,1.9447,1.9503,1.9134,1.9406,-0.0065,1.9296,6911.0,3065.0
2019-10-22,1.9433,1.9691,1.9351,1.9437,0.0031,1.9475,4452.0,3044.0
2019-10-23,1.9417,1.966,1.9208,1.9643,0.0206,1.9492,6049.0,2790.0
2019-10-24,1.961,1.9924,1.9535,1.9863,0.022,1.9779,5700.0,2644.0
2019-10-25,1.9819,1.987,1.9509,1.9796,-0.0067,1.9738,4805.0,2508.0
